Model,Group,mn_ksn,std_ksn,stde_ksn,mn_ksnqr,std_ksnqr,stde_ksnqr,mn_ksnqp,std_ksnqp,stde_ksnqp,mn_E,std_E,stde_E,p25_E,p75_E,mn_R,mn_P,cr,sr,U,perc_E_std,perc_U,int_qrt_E
a025u,au,326.71824172661803,48.31931767219334,2.160905578828624,349.10247036621473,75.25417118994187,3.365468847422325,383.47485042435477,69.75377315845229,3.1194835693879903,249.3861722883769,11.5983052966078,0.17272468870079502,247.9034587090609,251.91701740973255,3.6419483400601287,4.089112675211796,1.383112272414065,1.383112272414065,250,4.65074113379315,-0.24553108464923523,4.013558700671638
a05u,au,351.1189356842188,51.7654847869774,2.3150228574382536,391.17274195535697,84.35437482291684,3.7724423260707765,421.36489615584713,77.03390092377632,3.4450607807509535,502.82569469346373,46.52111781708498,0.6928034214894428,496.25025902823836,504.90804597602613,3.9312399413339225,4.270239569832737,1.413555018759255,1.413555018759255,500,9.251937263358334,0.5651389386927463,8.65778694778777
a1u,au,376.4457683829134,59.260688808761756,2.6502185713970463,435.5125337343215,100.51711743223508,4.495262149616135,461.2959212740951,90.73965451464528,4.05800071499185,993.7103613607794,53.2314763497055,0.7927356580513304,993.7576542673014,1004.6202639126022,4.266635211858327,4.480232198561495,1.4514903401919945,1.4514903401919945,1000,5.356840224228992,-0.6289638639220584,10.862609645300836
a2u,au,398.54939027521056,72.17047468343362,3.2275617472117037,474.6239297316557,120.45938941088458,5.387107665017125,496.49775105349437,109.55736920839811,4.89955449972041,2032.598933811175,818.1429190243672,12.183976657570314,1884.2019578181862,2074.608989038461,4.590877243267321,4.683241729415845,1.478341852795581,1.478341852795581,2000,40.2510748881644,1.6299466905587452,190.4070312202748
a4u,au,423.50303763781136,77.18488986881057,3.451813211649905,520.2061068968559,132.49709909318426,5.925450407877714,537.1215300868403,119.82955583179286,5.358940651069903,3976.882175457925,1515.3996102047756,22.567687195342245,3738.368752962561,4042.461517185802,4.931913180249704,4.896766007161123,1.5040318413047613,1.5040318413047613,4000,38.105217689289034,-0.5779456135518785,304.0927642232414
a8u,au,447.1625881448208,101.7461465202139,4.550226001357039,559.3644487704067,172.28547667695364,7.704840747712458,573.3670924473649,157.10853382548248,7.0261072295820775,7498.481586722375,6996.16614476106,104.18855070199987,3415.5593385530665,8437.845307567115,5.37663505321639,5.175208559470924,1.5453826670895447,1.5453826670895447,8000,93.30110454827589,-6.26898016597031,5022.2859690140485
a025l,al,162.29645262967293,3.191311198354449,0.14271977553753726,125.11987621227355,3.836738059400113,0.17158414225358556,164.93974816965223,3.8930520990739246,0.1741025826695508,248.8519249859093,11.46147691460157,0.17068700827395097,247.34893055601788,251.17792122855465,1.6042340115821527,2.8132897103670653,0.4998733900245405,0.4998733900245405,250,4.605741713772377,-0.45923000563627736,3.8289906725367757
a05l,al,185.03729957631333,4.2780916420673325,0.19132207451272507,152.62857267840047,5.353325072069852,0.239407975336043,192.8937120349208,5.357605840796967,0.23959941713343866,499.0479763627414,23.12225425769538,0.34434204537529667,496.1271375049819,504.25959255017005,1.8271011922260136,2.9528279484811475,0.515843982386563,0.515843982386563,500,4.633272822027953,-0.1904047274517211,8.13245504518818
a1l,al,214.30838060219187,6.448060795251633,0.28836604522468007,191.31637906260266,8.616781391328631,0.3853541787653207,230.7896782319877,8.42474169135366,0.3767659022948667,998.3404014021362,45.36880664615792,0.6756429326770785,994.5727438618634,1005.758513675937,2.116492292740876,3.134017140066371,0.5345921358460769,0.5345921358460769,1000,4.544422581960915,-0.16595985978638056,11.185769814073637
a2l,al,250.46827022813162,7.972278720852304,0.3565311431080164,243.0714331253422,10.931831626648396,0.4888863727153583,280.0788812939258,10.640026730143884,0.47583646102033067,1998.8458537205977,90.16057405273084,1.3426924613630917,1994.5341059677046,2010.4354212484395,2.4900575711361745,3.367908198486383,0.5561795120580636,0.5561795120580636,2000,4.510631667014661,-0.05770731397011559,15.901315280734934
a4l,al,295.2584790290203,9.59671844365403,0.4291782960187279,311.26720840010114,13.640335533076994,0.6100143497573198,343.89791631767645,13.058385355748918,0.5839887466368471,3986.590498196729,180.54947543591572,2.688785227000472,3974.283790810205,4012.931524844225,3.001266057933698,3.6879783467720646,0.582148017755487,0.582148017755487,4000,4.528919524530658,-0.33523754508177034,38.64773403401978
a8l,al,350.13051281222243,19.2636094362181,0.8614948038278014,401.12255280737844,33.051604611989966,1.4781126935571025,426.36067797522946,29.67264170178952,1.3270008783439282,7980.764828351075,397.9230778279227,5.925964008275609,7982.282773527914,8031.638611320705,3.690606920789404,4.119578051964351,0.6124057234916529,0.6124057234916529,8000,4.986026858156883,-0.24043964561155914,49.355837792791135
bc025u,bcu,276.15232367457014,48.66792900799696,2.176495951720302,351.2646388179578,98.07024512666733,4.385834693465912,384.0720085563074,98.02824538909451,4.383956408100913,256.23053721170834,105.97216572888664,1.578162401176355,246.18692531375928,263.48124845098937,5.555328636483455,6.346656101891202,1.6010864635276942,1.6010864635276942,250,41.358132751104534,2.492214884683335,17.294323137230094
bc05u,bcu,288.4625881977307,54.16179267890446,2.4221890042656162,379.92807599376874,110.21089932865486,4.9287812552051635,412.5497302029617,110.2339722544325,4.929813107814736,537.0517400851193,307.1236955642723,4.573758264881316,483.60872124594607,558.4402139131272,5.988252747272986,6.756906874230594,1.6376879115601999,1.6376879115601999,500,57.18698453813688,7.410348017023853,74.83149266718112
bc1u,bcu,302.9971272109121,54.77191857451523,2.4494746638139886,414.417273394954,119.83572042480074,5.359216340050288,446.7689994580231,119.29169599374094,5.3348868278648816,1022.7601355256937,646.2888109022751,9.624684884484918,860.6410868038439,1037.8248101087593,6.518939067924588,7.2597998004763085,1.667305566661517,1.667305566661517,1000,63.19065325811568,2.2760135525693723,177.18372330491536
bc2u,bcu,317.3484550638263,56.73091465626263,2.537083631942847,451.2861619305134,124.89611312223066,5.585523981336225,483.0484912204046,124.58869985372372,5.5717760420248865,2032.4106118349125,1045.9033364986449,15.57583833050917,1740.2583787418735,2172.3193878246097,7.001792615187652,7.71736507751811,1.7270397029000832,1.7270397029000832,2000,51.46122197986245,1.6205305917456256,432.0610090827363
bc4u,bcu,331.407940439726,66.6164748233853,2.9791793225298564,490.2041139484151,147.27894805376545,6.586514790057597,521.3354332153192,147.13959387434687,6.580282681695024,3971.7176073897867,3240.6845928294333,48.261036691079134,1815.6206329134875,4814.117157392683,7.541880093929712,8.229166799257937,1.8229267334162371,1.8229267334162371,4000,81.59403344285626,-0.7070598152553317,2998.4965244791956
bc8u,bcu,335.3578158037339,81.54917810562722,3.6469901150683994,488.94850273231697,161.84080366110697,7.2377407703886405,520.9401656654459,164.5549782091209,7.359122346231818,7762.012972012293,8954.9001686362,133.3584781930825,841.2029542105302,9960.100559720377,8.063194127546849,8.723178289014784,1.666653751181976,1.666653751181976,8000,115.36827110345132,-2.9748378498463355,9118.897605509846
bc025l,bcl,151.96507618761436,2.5005466127968785,0.11182784414241331,127.81705927660596,3.8695764509341184,0.17305271976842135,156.88066394499683,3.9405778109859657,0.17622799711983872,248.577144762095,11.483397357206977,0.1710134526577102,247.00545750288256,250.87358307680458,1.9026983197629392,2.885323339038046,0.520839076283251,0.520839076283251,250,4.619651323212904,-0.5691420951619989,3.868125573922015
