STAID,FullComp,FullLen,FullStartY,FullStartM,FullStartD,FullStopY,FullStopM,FullStopD,FullMeanR,FullRC1,FullRS1,FullRC5,FullRS5,Full2_5,Full5,Full10,SlicedComp,SlicedLen,SlicedStartY,SlicedStartM,SlicedStartD,SlicedStopY,SlicedStopM,SlicedStopD,SlicedMeanR,SlicedRC1,SlicedRS1,SlicedRC5,SlicedRS5,Sliced2_5,Sliced5,Sliced10
9051050.0,1.0,12511.0,1986.0,10.0,1.0,2020.0,12.0,31.0,0.7655317618628809,1.0618389197866356,1.369755125535505,0.908365587348761,1.0774080970609514,8.205701688134157,9.218751279261832,9.370708717930984,0.6625598904859685,4840.0,1986.0,10.0,1.0,1999.0,12.0,31.0,0.7728773010790455,1.1298842633017439,1.5278949403462605,0.8461436549136848,0.9599664230886762,8.053744249465007,8.155049208577774,11.447460379742715
3340800.0,1.0,23164.0,1957.0,8.0,1.0,2020.0,12.0,31.0,1.0437489889821208,0.38480803661896174,0.22979283219384525,0.364577016080182,0.17952447766319918,35.64053346840931,40.29227296140707,48.70644880903538,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,0.9510941847657198,0.3019900133266906,0.06245959670243707,0.3587682988582175,0.15363996955094977,40.29227296140707,42.48132684046484,57.59948019270757
1460880.0,1.0,3823.0,2005.0,11.0,1.0,2016.0,4.0,19.0,1.775732658281866,0.398148681166686,0.6128726904152351,0.3429231824914533,0.3112929819758362,83.88019355614296,89.63667742764298,143.08974194871448,0.0,0.0,,,,,,,,,,,,,,
2346180.0,0.5558395989974937,11089.0,1966.0,5.0,20.0,2020.0,12.0,31.0,1.2094703108171723,0.5704772656245722,0.591433177637037,0.5281682751373246,0.46768316244463626,16.926858703028348,20.576227322488588,21.896211716761442,0.6375085557837098,4657.0,1980.0,1.0,1.0,1992.0,9.0,30.0,1.025052772710329,0.5456038876756302,0.43398674037800705,0.542417386036903,0.42340579074343976,15.606874308755495,19.333889069055314,21.896211716761442
13013650.0,0.9930865773239737,9337.0,1995.0,4.0,6.0,2020.0,12.0,31.0,1.6536847478324692,0.9796823042588474,1.6194310312347355,1.0278519560757915,1.7684874627961944,11.520106600167157,12.825340352895452,13.052337527282985,0.22806297056810404,1666.0,1995.0,4.0,6.0,1999.0,12.0,31.0,2.2723990876098235,,,,,,,
1118500.0,1.0,29255.0,1940.0,11.0,27.0,2020.0,12.0,31.0,1.868040136392218,0.6840118944968313,0.7442661577870158,0.9118027443143439,1.3973683398618464,11.91701298543697,12.971333169135145,17.795646736966198,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,1.8519244569220206,0.6870350713920015,0.7973491477651836,0.8836702436105567,1.382127293338097,12.396249432572503,14.121500642260429,17.891494026393303
2298830.0,0.9999350712592929,30801.0,1936.0,9.0,1.0,2020.0,12.0,31.0,1.0496586252503879,0.46338452970330185,0.3274770053190495,0.5428200940684187,0.5617668448319584,19.952771164307677,26.81153625203844,31.42561458378459,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,1.0626036180113725,0.4061420693060539,0.19102577469693865,0.5061577303516754,0.4439143985846347,20.36845389689742,30.427976025569205,31.42561458378459
1649500.0,1.0,30104.0,1938.0,8.0,1.0,2020.0,12.0,31.0,1.1616877163708688,0.4052520909029964,0.2589811800264406,0.4070383885739993,0.2637533369844726,30.181829745898778,38.63794583849973,46.83387374363603,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,1.143221304907882,0.38352645250747824,0.1974205362647877,0.41525802812159845,0.2808400923339775,27.84013605871698,42.67086274420173,47.744532399762285
5555300.0,1.0,32746.0,1931.0,5.0,8.0,2020.0,12.0,31.0,0.69432811115255,0.6210241252542623,0.6192232764435066,0.49882193614917797,0.31471836406512677,13.535479651420266,15.415407380784192,18.122503311068243,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,0.8221327842586266,0.7377305072251451,1.0701415015785345,0.5271288109558209,0.43532980295888013,13.685873869769377,14.513042070689506,18.724080184464697
5280000.0,0.8596725693284331,36022.0,1906.0,4.0,13.0,2020.0,12.0,31.0,0.3316882432583931,0.7079725426630198,0.28924099468678227,0.7103384846008265,0.2912516514386323,4.285690216932552,4.678545153484703,5.285684600883481,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,0.4556623964731745,1.2074216279244776,0.7132234465478754,1.033720719496339,0.5714263040900823,3.507123160856472,3.928549365521506,4.1785479615092385
