,GRDC_NO,R_AREA,H_AREA,START,END,LENGTH,MIN_Z,MN_Z,MAX_Z,E_NORM_CRLF,ERR_HI,BW,BE,BN,BS,CX,CY,R_Q,H_Q,R_R,H_R,MIN_R,MN_R,MAX_R
2327,6688050,23.1,25.4,1977,1987,11,55.0,158.21019108280254,368.0,0.0,0.0,29.14401855468691,29.218481445311795,41.155981445312136,41.074999999999534,29.185287158467,41.11855783410752,0.082,0.23,0.3067012987012987,0.7823622047244095,109.0,178.0955414012739,282.0
2328,6688500,2918.0,3958.0,1977,1987,11,909.0,1212.1296628931868,2065.0,0.0,0.0,34.755428059895166,35.868835449217954,39.960614013671375,39.34390462239543,35.22959172333958,39.624012183549105,6.549,12.73,0.19391144619602468,0.2778858009095503,44.0,178.67533988705293,499.0
2329,6690100,2549.0,2618.5,1977,1987,11,1754.0,2221.250962813309,3141.0,0.0,0.0,41.179166666665765,42.2367635091137,39.84396158854122,39.32263590494756,41.621038938957454,39.63317190431736,21.526,20.34,0.7296376618281678,0.6711384380370441,47.0,334.7440641576156,790.0
2330,6691400,1942.0,1917.6,1977,1987,11,125.0,1298.5638817366598,2940.0,0.0,0.0,30.961971028645223,31.385335286457746,37.91513061523398,37.09999999999957,31.179358552741654,37.51683796071718,90.948,10.6,4.046296189495365,0.4775969962453066,139.0,691.2644811656006,1751.0
2331,6691500,3500.0,3529.1,1977,1987,11,132.0,1448.7919554817925,2726.0,0.0,0.0,32.170898437499375,33.33286946614504,36.9166666666664,36.33545735677052,32.79669263949222,36.628604085129425,61.302,25.59,1.513283657142857,0.6264985407044289,88.0,600.0821844400058,1492.0
2332,6691700,2597.0,2365.9,1977,1987,11,709.0,1669.6297168128967,2870.0,0.0,0.0,36.03962402343677,36.67499999999916,38.68333333333305,37.68043416341118,36.30189949199305,38.16619547186161,29.777,13.4,0.9906556796303428,0.4893528889640306,42.0,518.0360116717671,1365.0
2333,6691800,915.0,972.8,1977,1987,11,1219.0,1828.3030198446936,2818.0,0.0,0.0,36.5480346679679,37.112215169270144,38.720833333332905,38.37692464192668,36.79081979503241,38.55228885425061,8.451,4.37,0.7979960655737705,0.388125,88.0,394.38545078434754,1133.0
2334,6695500,2886.0,2814.8,1977,1987,11,1680.0,2151.347077030894,3114.0,0.0,0.0,40.713879394530466,41.554166666665765,40.339162190754735,39.72686157226525,41.10418366432393,40.01996690151254,18.929,24.84,0.566689397089397,0.7624612761119796,3.0,440.17221249270284,1168.0
2335,6695600,2450.0,2514.0,1977,1987,11,532.0,1251.41518036744,2802.0,0.0,0.0,41.20464274088454,42.05234374999918,38.61851196289024,37.87216796874969,41.61737768140808,38.25334999121975,43.494,39.03,1.533829224489796,1.341365155131265,69.0,507.9062688568555,1629.0
2336,6730330,2911.0,2913.6,1911,2018,108,69.0,944.7878134067406,1690.0,0.0,0.0,7.010496012369572,8.552850341796557,60.02304484049472,59.33022664388017,7.76565039925791,59.67383172032939,30.628,55.42,0.9090550326348334,1.6434266886326194,75.0,488.1038361266294,931.0
